因子,,,,,,,,,,,,,
基本每股收益,1.00,0.39,0.17,0.15,0.66,0.13,0.00,0.00,0.14,-0.09,-0.04,-0.01,0.49
每股净资产(元/股),0.39,1.00,0.29,0.88,0.75,-0.20,0.02,0.02,0.09,-0.12,-0.02,-0.01,0.28
每股营业收入(元/股),0.17,0.29,1.00,0.16,0.34,-0.06,0.01,0.07,0.01,0.10,0.01,-0.02,0.07
每股资本公积(元/股),0.15,0.88,0.16,1.00,0.38,-0.24,0.00,-0.01,0.10,-0.19,-0.01,-0.03,0.14
每股未分配利润(元/股),0.66,0.75,0.34,0.38,1.00,0.05,0.02,0.02,0.09,-0.08,-0.02,0.00,0.42
每股企业自由现金流量(元/股),0.13,-0.20,-0.06,-0.24,0.05,1.00,0.01,-0.02,0.01,0.05,0.01,0.00,0.12
营业收入同必增长(%),0.00,0.02,0.01,0.00,0.02,0.01,1.00,0.00,0.00,0.01,-0.01,0.00,-0.01
所属行业,0.00,0.02,0.07,-0.01,0.02,-0.02,0.00,1.00,-0.01,0.19,0.01,0.02,-0.06
是否为次新股,0.14,0.09,0.01,0.10,0.09,0.01,0.00,-0.01,1.00,-0.20,-0.08,0.01,0.19
上市年限,-0.09,-0.12,0.10,-0.19,-0.08,0.05,0.01,0.19,-0.20,1.00,0.10,0.06,-0.09
120日平均换手率,-0.04,-0.02,0.01,-0.01,-0.02,0.01,-0.01,0.01,-0.08,0.10,1.00,-0.08,0.01
总市值,-0.01,-0.01,-0.02,-0.03,0.00,0.00,0.00,0.02,0.01,0.06,-0.08,1.00,-0.01
收盘价,0.49,0.28,0.07,0.14,0.42,0.12,-0.01,-0.06,0.19,-0.09,0.01,-0.01,1.00
